"Geo Code","Geo Name","Line Number"
"2021S05078350008.02","8350008.02",1602281
"2021S05078350009.00","8350009.00",1604912
"2021S05078350010.00","8350010.00",1607543
"2021S05078350011.00","8350011.00",1610174
"2021S05078350012.01","8350012.01",1612805
"2021S05078350012.02","8350012.02",1615436
"2021S05078350013.00","8350013.00",1618067
"2021S05078350014.00","8350014.00",1620698
"2021S05078350015.01","8350015.01",1623329
"2021S05078350015.02","8350015.02",1625960
"2021S05078350016.01","8350016.01",1628591
"2021S05078350016.02","8350016.02",1631222
"2021S05078350017.00","8350017.00",1633853
"2021S05078350018.00","8350018.00",1636484
"2021S05078350019.01","8350019.01",1639115
"2021S05078350019.02","8350019.02",1641746
"2021S05078350020.00","8350020.00",1644377
"2021S05078350021.00","8350021.00",1647008
"2021S05078350022.00","8350022.00",1649639
"2021S05078350023.00","8350023.00",1652270
"2021S05078350024.01","8350024.01",1654901
"2021S05078350024.02","8350024.02",1657532
"2021S05078350025.00","8350025.00",1660163
"2021S05078350026.01","8350026.01",1662794
"2021S05078350026.02","8350026.02",1665425
"2021S05078350027.00","8350027.00",1668056
"2021S05078350028.00","8350028.00",1670687
"2021S05078350029.00","8350029.00",1673318
"2021S05078350030.00","8350030.00",1675949
"2021S05078350031.00","8350031.00",1678580
"2021S05078350032.01","8350032.01",1681211
"2021S05078350032.02","8350032.02",1683842
"2021S05078350033.01","8350033.01",1686473
"2021S05078350033.02","8350033.02",1689104
"2021S05078350034.01","8350034.01",1691735
"2021S05078350034.02","8350034.02",1694366
"2021S05078350034.03","8350034.03",1696997
"2021S05078350035.00","8350035.00",1699628
"2021S05078350036.00","8350036.00",1702259
"2021S05078350037.00","8350037.00",1704890
"2021S05078350038.00","8350038.00",1707521
"2021S05078350039.00","8350039.00",1710152
"2021S05078350040.00","8350040.00",1712783
"2021S05078350041.00","8350041.00",1715414
"2021S05078350042.01","8350042.01",1718045
"2021S05078350042.02","8350042.02",1720676
"2021S05078350043.00","8350043.00",1723307
"2021S05078350044.00","8350044.00",1725938
"2021S05078350045.00","8350045.00",1728569
"2021S05078350046.00","8350046.00",1731200
"2021S05078350047.00","8350047.00",1733831
"2021S05078350048.00","8350048.00",1736462
"2021S05078350049.00","8350049.00",1739093
"2021S05078350050.00","8350050.00",1741724
"2021S05078350051.01","8350051.01",1744355
"2021S05078350051.02","8350051.02",1746986
"2021S05078350052.01","8350052.01",1749617
"2021S05078350052.02","8350052.02",1752248
"2021S05078350053.00","8350053.00",1754879
"2021S05078350054.01","8350054.01",1757510
"2021S05078350054.02","8350054.02",1760141
"2021S05078350054.03","8350054.03",1762772
"2021S05078350055.00","8350055.00",1765403
"2021S05078350056.00","8350056.00",1768034
"2021S05078350057.00","8350057.00",1770665
"2021S05078350058.00","8350058.00",1773296
"2021S05078350059.00","8350059.00",1775927
"2021S05078350060.01","8350060.01",1778558
"2021S05078350060.02","8350060.02",1781189
"2021S05078350061.00","8350061.00",1783820
"2021S05078350062.01","8350062.01",1786451
"2021S05078350062.02","8350062.02",1789082
